order,taoble_name_cn,taoble_name,column_name_CN,column_name,column_type,column_related,notes
1.2.6,,AShareFinancialIndicator,对象ID,OBJECT_ID,VARCHAR2(100),,
1.2.6,,AShareFinancialIndicator,Wind代码,S_INFO_WINDCODE,VARCHAR2(40),,
1.2.6,,AShareFinancialIndicator,Wind代码,WIND_CODE,VARCHAR2(40),,
1.2.6,,AShareFinancialIndicator,公告日期,ANN_DT,VARCHAR2(8),,
1.2.6,,AShareFinancialIndicator,报告期,REPORT_PERIOD,VARCHAR2(8),,
1.2.6,,AShareFinancialIndicator,货币代码,CRNCY_CODE,VARCHAR2(10),,默认为人民币
1.2.6,,AShareFinancialIndicator,非经常性损益,S_FA_EXTRAORDINARY,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,扣除非经常性损益后的净利润(扣除少数股东损益),S_FA_DEDUCTEDPROFIT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,毛利,S_FA_GROSSMARGIN,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,经营活动净收益,S_FA_OPERATEINCOME,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,价值变动净收益,S_FA_INVESTINCOME,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,利息费用,S_STMNOTE_FINEXP,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,折旧与摊销,S_STM_IS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,息税前利润,S_FA_EBIT,"NUMBER(20,4)",,"元,反向法"
1.2.6,,AShareFinancialIndicator,息税折旧摊销前利润,S_FA_EBITDA,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,企业自由现金流量(FCFF),S_FA_FCFF,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,股权自由现金流量(FCFE),S_FA_FCFE,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,无息流动负债,S_FA_EXINTERESTDEBT_CURRENT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,无息非流动负债,S_FA_EXINTERESTDEBT_NONCURRENT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,带息债务,S_FA_INTERESTDEBT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,净债务,S_FA_NETDEBT,"NUMBER(20,4)",,元
