type_financial,factor,esti_detail_CN,esti_detail,esti_stat_CN,esti_stat,type_stat,indi_prefix
收入和利润,成长,预测净利润(万元),EST_NET_PROFIT,净利润平均值(万元),NET_PROFIT_AVG,平均值,esti_diffpct_
收入和利润,成长,预测主营业务收入(万元),EST_MAIN_BUS_INC,主营业务收入平均值(万元),MAIN_BUS_INC_AVG,平均值,esti_diffpct_
收入和利润,成长,预测息税折旧摊销前利润(万元),EST_EBITDA,息税折旧摊销前利润平均值(万元),EBITDA_AVG,平均值,esti_diffpct_
资产和投资收益,价值,预测总资产收益率,S_EST_ROA,总资产收益率平均值（%）,S_EST_AVGROA,平均值,esti_diffpct_
资产和投资收益,价值,预测净资产收益率,S_EST_ROE,净资产收益率平均值（%）,S_EST_AVGROE,平均值,esti_diffpct_
现金流,质量,预测每股现金流,S_EST_CPS,每股现金流平均值,S_EST_AVGCPS,平均值,esti_diffpct_
费用管理,质量,预测营业成本及附加（万元）,S_EST_OC,营业成本及附加平均值(万元),S_EST_AVGOC,平均值,esti_diffpct_
收入和利润,成长,预测净利润(万元),EST_NET_PROFIT,净利润中值(万元),NET_PROFIT_MEDIAN,中位数,esti_diffpct_
收入和利润,成长,预测主营业务收入(万元),EST_MAIN_BUS_INC,主营业务收入中值(万元),MAIN_BUS_INC_MEDIAN,中位数,esti_diffpct_
收入和利润,成长,预测息税折旧摊销前利润(万元),EST_EBITDA,息税折旧摊销前利润中值(万元),EBITDA_MEDIAN,中位数,esti_diffpct_
资产和投资收益,价值,预测总资产收益率,S_EST_ROA,总资产收益率中值（%）,S_EST_MEDIANROA,中位数,esti_diffpct_
资产和投资收益,价值,预测净资产收益率,S_EST_ROE,净资产收益率中值（%）,S_EST_MEDIANROE,中位数,esti_diffpct_
现金流,质量,预测每股现金流,S_EST_CPS,每股现金流中值,S_EST_MEDIANCPS,中位数,esti_diffpct_
费用管理,质量,预测营业成本及附加（万元）,S_EST_OC,营业成本及附加中值(万元),S_EST_MEDIAOC,中位数,esti_diffpct_
收入和利润,成长,预测净利润(万元),EST_NET_PROFIT,净利润标准差(万元),NET_PROFIT_DEV,标准差,esti_diffpct_
收入和利润,成长,预测主营业务收入(万元),EST_MAIN_BUS_INC,主营业务收入标准差(万元),MAIN_BUS_INC_DEV,标准差,esti_diffpct_
收入和利润,成长,预测息税折旧摊销前利润(万元),EST_EBITDA,息税折旧摊销前利润标准差(万元),EBITDA_DEV,标准差,esti_diffpct_
资产和投资收益,价值,预测总资产收益率,S_EST_ROA,总资产收益率标准差（%）,S_EST_STDROA,标准差,esti_diffpct_
资产和投资收益,价值,预测净资产收益率,S_EST_ROE,净资产收益率标准差（%）,S_EST_STDROE,标准差,esti_diffpct_
现金流,质量,预测每股现金流,S_EST_CPS,每股现金流标准差,S_EST_STDCPS,标准差,esti_diffpct_
费用管理,质量,预测营业成本及附加（万元）,S_EST_OC,营业成本及附加标准差(万元),S_EST_STOC,标准差,esti_diffpct_
