name_table_CN,name_table,freq,keyword_anndate_CN,keyword_anndate,keyword1_CN,keyword1,keyword2_CN,keyword2,keyword3_CN,keyword3,keyword4_CN,keyword4,notes,if_1st_download,date_begin,date_last_complete,date_lastupdate,if_date_complete,data_source,output_type
全球市场交易时间,GlobalMarketTradingTime,day,*,,交易所英文简称,EXCHANGE_SNAME_ENG,交易品种描述,SECURITIES_TYPE,交易时段,TRADING_HOURS,,,"例子：交易时段 TRADING_HOURS：[1,2,3,4,5,|09:30-16:00|] ；注释|:分隔盘前中后;-:区分时间;“,”:区分时间段;T:代表跨天",,,,,,,
中国A股指数日行情,AIndexEODPrices,day,交易日期,TRADE_DT,交易日期,TRADE_DT,Wind代码,S_INFO_WINDCODE,,,,,,,,,,,,
中国A股指数成份股,AIndexMembers,day,纳入日期,S_CON_INDATE,纳入日期,S_CON_INDATE,剔除日期,S_CON_OUTDATE,指数Wind代码,S_INFO_WINDCODE,,,notes:这个比较尴尬，需要自己在成分股变动日期新建一个成分列表，并将后续无变动日期与其对应起来。,,,,,,,
中国A股Wind行业指数日行情,AIndexWindIndustriesEOD,day,交易日期,TRADE_DT,交易日期,TRADE_DT,Wind代码,S_INFO_WINDCODE,,,,,,,,,,,,
中国A股财务指标,AShareFinancialIndicator,,公告日期,ANN_DT,公告日期,ANN_DT,Wind代码,S_INFO_WINDCODE,报告期,REPORT_PERIOD,,,,,,,,,,
中国A股股权关系,AShareEquityRelationships,day,公告日期,ANN_DT,公告日期,ANN_DT,股东名称,S_HOLDER_NAME,截止日期,ENDDATE,,,"例子:S_HOLDER_NAME:卜峰集团有限公司，对应的是直接股东或直接股东的股东.注意：S_INFO_COMPNAME需要是代码对应的公司全称或者RELATION_TYPE=""公司本身“才是直接持股股东。如果RELATION_TYPE=""公司股东“则表示是直接股东的股东。||ENDDATE对应的是REPORT_DATE.",,,,,,,
中国A股流通股东,AShareFloatHolder,day,公告日期,ANN_DT,公告日期,ANN_DT,,,,,,,,,,,,,,
中国A股前十大股东,AShareInsideHolder,day,公告日期,ANN_DT,公告日期,ANN_DT,股东名称,S_HOLDER_NAME,Wind代码,S_INFO_WINDCODE,报告期,REPORT_PERIOD,"公告日期ANN_DT = 截止日期 S_HOLDER_ENDDATE，公告日期为相关公告披露日期，截止日期为相关公告中公布的，比如上市公告之类的，而报告期则是相应报告期数据对应的日期；S_HOLDER_NAME 是wind数据容错处理过的股东名称 ；有的股票，在一个报告时点，并没有10个股东持股数据，有的是9条，有的是7条。请问这是为什么呢？这是否表明该数据表的数据是不可靠的？
      A：要求公布是前10名，有可能是公司股东不足10个，也有可能是数据源公布情况问题；",,,,,,,
中国A股重要股东增减持,AShareMjrHolderTrade,day,公告日期,ANN_DT,公告日期,ANN_DT,持有人,HOLDER_NAME,Wind代码,S_INFO_WINDCODE,变动截至日期,TRANSACT_ENDDATE,变动起始日-变动截止日这段时间内有交易方向、数量，金额，平均价格，交易方式，说明等,,,,,,,
中国A股盈利预测汇总,AShareConsensusData,day,预测日期,EST_DT,预测日期,EST_DT,预测报告期,EST_REPORT_DT,Wind代码,S_INFO_WINDCODE,预测年度类型,S_EST_YEARTYPE,预测年度类型 S_EST_YEARTYPE：例FY1值得是预测下一年。,,,,,,,
中国A股盈利预测明细,AShareEarningEst,day,公告日期(内部),ANN_DT,公告日期(内部),ANN_DT,预测报告期,EST_REPORT_DT,Wind代码,S_INFO_WINDCODE,研究机构名称,RESEARCH_INST_NAME,"公告日期(内部)
ANN_DT类似EST_DT，指的是Wind接收到报告并发布的时间",,,,,,,
中国共同基金净值,ChinaMutualFundNAV,day,公告日期,ANN_DATE,Wind代码,F_INFO_WINDCODE,公告日期,ANN_DATE,截止日期,PRICE_DATE,单位净值,F_NAV_UNIT,,,,,,,,
中国共同基金净值表现(报告期),ChinaMutualFundRepNAVPer,day,公告日期,ANN_DATE,Wind代码,S_INFO_WINDCODE,公告日期,ANN_DATE,报告期,F_INFO_REPORTPERIOD,,,,,,,,,,
中国共同基金投资组合——持股明细,ChinaMutualFundStockPortfolio,day,公告日期,ANN_DATE,公告日期,ANN_DATE,截止日期,F_PRT_ENDDATE,基金Wind代码,S_INFO_WINDCODE,持有股票Wind代码,S_INFO_STOCKWINDCODE,,,,,,,,
中国A股日行情,AShareEODPrices,day,交易日期,TRADE_DT,交易日期,TRADE_DT,Wind代码,S_INFO_WINDCODE,涨跌幅(%),S_DQ_PCTCHANGE,复权因子,S_DQ_ADJFACTOR,,,,,,,,
中国A股日行情估值指标,AShareEODDerivativeIndicator,day,交易日期,TRADE_DT,交易日期,TRADE_DT,Wind代码,S_INFO_WINDCODE,"市盈率(PE,TTM)",S_VAL_PE_TTM,,,,,,,,,,
中国A股资金流向数据,AShareMoneyFlow,day,交易日期,TRADE_DT,交易日期,TRADE_DT,Wind代码,,,,,,,,,,,,,
中国A股公布重要财务指标,AShareANNFinancialIndicator,day,公告日期,ANN_DT,报告期,REPORT_PERIOD,Wind代码,S_INFO_WINDCODE,,,,,,,,,,,,
中国A股重大事件汇总,AShareMajorEvent,,披露日期,S_EVENT_ANNCEDATE,,,,,,,,,,,,,,,,
中国A股业绩快报,AShareProfitExpress,day,公告日期,ANN_DT,,,,,,,,,,,,,,,,
中国A股业绩预告,AShareProfitNotice,day,公告日期,S_PROFITNOTICE_DATE,,,,,,,,,,,,,,,,
中国A股财务费用明细,AShareFinancialExpense,day,公告日期,ANN_DT,,,,,,,,,,,,,,,,
